date,title,path,proposed
2017-12-07,PMG Helping In Houston,/pmg-helping-in-houston/,/news/pmg-helping-in-houston/
2018-01-16,Thank You For Paying It Forward,/thank-you-for-paying-it-forward/,/news/thank-you-for-paying-it-forward/
2019-01-31,Pain Management Group Receives ‘Spirit Award’ From The Partnership For Excellence,/pain-management-group-receives-spirit-award-from-the-partnership-for-excellence/,/news/pain-management-group-receives-spirit-award-from-the-partnership-for-excellence/
2022-08-29,Pain Management Group Receives The Partnership For Excellence Silver Award 2022,/pain-management-group-receives-the-partnership-for-excellence-silver-award-2022/,/news/pain-management-group-receives-the-partnership-for-excellence-silver-award-2022/
