name,title,organization,quote,legacy_url
Bill Watkins,CAO,Blanchard Valley Medical Practices,"I’m convinced that in addition to increasing revenue, Pain Management Group has also increased patient satisfaction at Bluffton Hospital. The pain specialists stay with the patients until they are able to return to work and a normal life. The patients have a better quality of life, and our hospital gets much of the credit.",/em_testimonial/bill-watkins/
"William Kose, MD",Chief Quality Officer,BVHS,"As an internal medicine physician with a large practice, I learned just how complex pain issues could be. Now, as a hospital administrator, I am also learning the value of a good pain management program in increasing patient satisfaction and driving revenues.",/em_testimonial/mr-maldonado/
Patrick J. Martin,FACHE,Fisher-Titus Medical Center,"We started our pain program with Pain Management Group back in 2009 as a way to provide our patients the highest quality pain management care without leaving the community. After checking references and results, we chose to work with PMG to develop the Fisher-Titus Pain Management Center. The efficiency of Pain Management Group’s operational model delivers strong top- and bottom-line results, while consistently delivering high patient satisfaction scores.",/em_testimonial/patrick-j-martin/
