url,title,status,proposed_destination,action
https://painmgmtgroup.com/em_portfolios/putnam-county-hospital-pain-management-center/,PUTNAM COUNTY HOSPITAL PAIN MANAGEMENT CENTER – Pain Management Group,200,/our-partners/indiana/,301
https://painmgmtgroup.com/em_portfolios/rhea-pain-management-center/,RHEA PAIN MANAGEMENT CENTER – Pain Management Group,200,/our-partners/tennessee/,301
https://painmgmtgroup.com/em_portfolios/southeastern-pain-management/,Southeastern Pain Management – Pain Management Group,200,/our-partners/ohio/,301
https://painmgmtgroup.com/em_portfolios/spine-and-pain-program-at-mymichigan-medical-center-west-branch/,SPINE AND PAIN PROGRAM AT MYMICHIGAN MEDICAL CENTER – Pain Management Group,200,/our-partners/michigan/,301
https://painmgmtgroup.com/em_portfolios/twin-lakes-pain-management-center/,TWIN LAKES PAIN MANAGEMENT CENTER – Pain Management Group,200,/our-partners/kentucky/,301
https://painmgmtgroup.com/em_portfolios/uh-samaritan-pain-clinic/,UH SAMARITAN PAIN CLINIC – Pain Management Group,200,/our-partners/ohio/,301
https://painmgmtgroup.com/em_portfolios/van-wert-county-pain-management-center/,VAN WERT COUNTY PAIN MANAGEMENT CENTER – Pain Management Group,200,/our-partners/ohio/,301
https://painmgmtgroup.com/em_portfolios/wayne-health-pain-management/,WAYNE HEALTH PAIN MANAGEMENT – Pain Management Group,200,/our-partners/ohio/,301
https://painmgmtgroup.com/em_team/cristian-escobar/,Cristian Escobar – Pain Management Group,200,,retire
https://painmgmtgroup.com/em_team/mr-miller/,Mr Miller – Pain Management Group,200,,retire
https://painmgmtgroup.com/em_team/patrick-tomasso/,Patrick Tomasso – Pain Management Group,200,,retire
https://painmgmtgroup.com/em_team/stephen-miller/,Stephen Miller – Pain Management Group,200,,retire
https://painmgmtgroup.com/em_testimonial/bill-watkins/,Bill Watkins – Pain Management Group,200,/results/testimonials/,301
https://painmgmtgroup.com/em_testimonial/mr-maldonado/,"William Kose, MD – Pain Management Group",200,/results/testimonials/,301
https://painmgmtgroup.com/em_testimonial/patrick-j-martin/,Patrick J. Martin – Pain Management Group,200,/results/testimonials/,301
https://painmgmtgroup.com/home-one-page/,Home One Page – Pain Management Group,200,,retire
